Best parameters set found on development set:
0.66596 (+/-0.015) for {'max_features': 7, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.017) for {'max_features': 7, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.020) for {'max_features': 8, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.022) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.021) for {'max_depth': 4, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 38, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 38, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 41, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 41, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 54, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 55, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.024) for {'max_features': 4, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.022) for {'max_features': 4, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 17, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.022) for {'max_features': 5, 'min_samples_leaf': 30, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.023) for {'max_features': 5, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.023) for {'max_features': 5, 'min_samples_leaf': 59, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.021) for {'max_features': 5, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42}
0.66573 (+/-0.017) for {'max_features': 7, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.017) for {'max_features': 7, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
0.66573 (+/-0.018) for {'max_features': 8, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.018) for {'max_depth': 3, 'max_features': 10, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.017) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.020) for {'max_depth': 5, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.018) for {'max_depth': 5, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.023) for {'max_features': 4, 'min_samples_leaf': 12, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 19, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.022) for {'max_features': 4, 'min_samples_leaf': 21, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 27, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 29, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 39, 'n_estimators': 500, 'random_state': 42}
