home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Rams,Redskins,20,27,9/17/2017,2017,2,-3,1,14,22,97,1,15,25,247,1,1,2,12,235,332,3,1,2,7,75,5,12,1,1,1421,385,0,3,0,0,2,23,1,21,39,229,2,18,27,179,1,0,2,23,156,385,3,0,0,4,25,5,13,0,0,2179,332,1,3,1,2,2,12
Falcons,Packers,34,23,9/17/2017,2017,2,-3,1,19,27,141,2,19,28,252,1,0,3,29,223,364,0,0,0,6,34,5,11,0,0,1717,367,1,1,1,2,3,35,1,24,15,59,1,33,50,343,2,1,3,35,308,367,1,1,2,10,70,5,12,3,3,1883,364,0,0,0,0,3,29
Chiefs,Eagles,27,20,9/17/2017,2017,2,-4,1,16,19,112,2,21,28,251,1,0,4,19,232,344,0,0,0,5,40,5,12,0,0,1751,406,1,3,1,2,6,34,1,27,17,107,0,25,46,333,2,1,6,34,299,406,3,1,2,4,30,8,15,0,0,1849,344,0,0,0,0,4,19
Saints,Patriots,20,36,9/17/2017,2017,2,5.5,1,20,17,81,0,27,45,356,2,0,1,8,348,429,1,0,0,5,35,4,12,1,2,1494,555,0,0,0,0,2,11,1,29,31,119,1,30,39,447,3,0,2,11,436,555,0,0,0,9,66,6,12,0,0,2106,429,0,1,0,0,1,8
Giants,Lions,10,24,9/18/2017,2017,2,-3,1,14,18,62,0,22,32,239,1,1,5,31,208,270,1,0,1,7,50,4,12,0,2,1633,257,0,1,1,1,3,3,1,12,32,138,0,15,21,122,2,0,3,3,119,257,1,1,1,6,50,7,15,0,1,1967,270,1,1,0,1,5,31
49ers,Rams,39,41,9/21/2017,2017,3,3,2,25,33,113,3,23,37,332,2,1,4,24,308,421,1,1,2,10,55,9,18,2,3,1817,418,0,3,2,2,0,0,2,26,32,126,2,22,28,292,3,0,0,0,292,418,3,2,2,7,52,8,12,0,0,1783,421,1,1,1,2,4,24
Redskins,Raiders,27,10,9/24/2017,2017,3,3,2,18,34,116,0,25,30,365,3,0,1,9,356,472,2,2,2,10,77,7,15,0,0,2286,128,2,1,1,3,4,22,2,7,13,32,0,19,31,118,1,2,4,22,96,128,1,1,3,4,35,0,11,1,2,1314,472,0,2,2,2,1,9
Jaguars,Ravens,44,7,9/24/2017,2017,3,3,2,24,35,166,1,20,33,244,4,0,0,0,244,410,0,0,0,9,70,3,12,2,2,2043,186,2,1,1,3,2,12,2,12,25,134,0,14,27,64,1,2,2,12,52,186,1,1,3,10,88,3,11,0,1,1557,410,0,0,0,0,0,0
Chargers,Chiefs,10,24,9/24/2017,2017,3,3,2,24,26,104,1,20,40,237,0,3,2,11,226,330,0,0,3,8,61,5,13,0,0,1774,311,0,2,0,0,5,33,2,16,25,189,1,16,21,155,2,0,5,33,122,311,2,0,0,13,122,4,12,0,1,1826,330,3,0,0,3,2,11
Jets,Dolphins,20,6,9/24/2017,2017,3,5.5,2,16,34,103,1,18,23,249,1,0,2,16,233,336,3,1,1,10,94,4,13,0,0,2168,225,2,1,0,2,3,25,1,16,15,30,0,26,45,220,1,2,3,25,195,225,1,0,2,8,51,1,12,0,3,1432,336,0,3,1,1,2,16
