home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Titans,Browns,26,9,9/19/1999,1999,2,-16.0,1,24,34,102,2,31,40,310,1,0,0,0,310,412,1,0,0,7,70,8,14,0,0,2480,173,0,2,1,1,7,44,1,12,16,83,0,12,24,134,1,0,7,44,90,173,2,1,1,2,7,4,11,0,0,1120,412,0,1,0,0,0,0
Panthers,Jaguars,20,22,9/19/1999,1999,2,9.5,1,16,18,87,0,16,26,216,3,1,4,20,196,283,0,0,1,5,37,2,9,1,2,1311,414,0,1,1,1,2,14,1,27,46,214,2,20,32,214,0,0,2,14,200,414,1,1,1,5,35,7,16,1,1,2289,283,1,0,0,1,4,20
Ravens,Steelers,20,23,9/19/1999,1999,2,2.5,1,16,29,125,1,14,31,178,1,2,2,11,167,292,1,1,3,9,67,2,13,1,1,1553,270,0,2,0,0,3,17,1,19,36,149,2,18,27,138,0,0,3,17,121,270,2,0,0,7,37,6,17,0,0,2047,292,2,1,1,3,2,11
Cowboys,Falcons,24,7,9/20/1999,1999,2,-6.5,1,17,37,134,2,10,22,109,0,2,2,11,98,232,0,0,2,9,69,4,14,1,1,1968,324,3,2,1,4,4,23,1,13,24,85,0,16,38,262,1,3,4,23,239,324,2,1,4,11,82,5,17,0,1,1632,232,2,0,0,2,2,11
Jaguars,Titans,19,20,9/26/1999,1999,3,-9.5,2,22,33,137,0,22,42,232,1,3,0,0,232,369,2,1,4,9,79,6,16,0,1,1931,242,1,2,1,2,2,13,2,15,26,51,0,17,32,204,2,1,2,13,191,242,2,1,2,9,82,4,13,0,0,1669,369,3,2,1,4,0,0
Patriots,Giants,16,14,9/26/1999,1999,3,-6.0,2,17,29,67,1,20,28,233,0,0,1,10,223,290,0,0,0,3,25,5,12,0,0,1841,258,0,0,0,0,1,15,2,19,26,57,0,23,36,216,2,0,1,15,201,258,0,0,0,2,10,5,14,1,2,1759,290,0,0,0,0,1,10
Ravens,Browns,17,10,9/26/1999,1999,3,-12.0,2,16,37,184,2,12,25,165,0,3,4,15,150,334,1,0,3,8,65,2,13,0,0,1972,189,1,2,2,3,4,34,2,11,24,100,0,13,32,123,1,1,4,34,89,189,2,2,3,2,20,2,15,0,0,1628,334,3,1,0,3,4,15
Chargers,Colts,19,27,9/26/1999,1999,3,1.0,1,16,25,95,1,15,37,188,0,1,3,9,179,274,0,0,1,5,45,5,15,0,0,1707,468,1,2,0,1,0,0,2,26,22,64,1,29,54,404,2,1,0,0,404,468,2,0,1,8,60,8,16,0,0,1893,274,1,0,0,1,3,9
Raiders,Bears,24,17,9/26/1999,1999,3,-7.0,2,22,26,109,1,26,35,295,2,0,4,12,283,392,5,5,5,9,85,8,13,0,0,2069,232,1,3,2,3,3,18,2,11,16,34,0,23,35,216,2,1,3,18,198,232,3,2,3,17,121,4,13,0,0,1531,392,0,5,5,5,4,12
Jets,Redskins,20,27,9/26/1999,1999,3,1.0,2,19,31,142,1,17,31,227,1,1,6,32,195,337,2,1,2,8,86,6,16,1,1,1867,333,0,0,0,0,1,4,2,21,29,96,3,17,28,241,0,0,1,4,237,333,0,0,0,5,35,3,11,0,0,1733,337,1,2,1,2,6,32
