Best parameters set found on development set:
-0.21282 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21282 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
-0.21282 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
-0.21282 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21282 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
-0.21282 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21282 (+/-0.010) for {'max_depth': 6, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21282 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
-0.21282 (+/-0.010) for {'max_features': 9, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21283 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_depth': 6, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21283 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
