vote_probs,lr_probs,svc_probs,rf_probs,outcome
0.438379218,0.453766366,0.457588465,0.403661351,0
0.713562429,0.709888759,0.68725244,0.743642977,1
0.71926699,0.709970815,0.709501362,0.738396431,1
0.628550178,0.625792435,0.613823972,0.646091158,1
0.669664802,0.6663019,0.676668692,0.666015357,0
0.362184256,0.377173659,0.382054519,0.32720264,0
0.403196541,0.392749965,0.391482882,0.425435094,0
0.448895782,0.431116755,0.425796395,0.489917375,0
0.735971268,0.734912277,0.723559569,0.749484974,1
0.63828899,0.622819102,0.649691435,0.642382572,0
0.589614828,0.587091979,0.634698373,0.54692332,0
0.454276984,0.438045051,0.434526486,0.49038595,1
0.226498342,0.217962113,0.204406812,0.257229222,0
0.644325684,0.64337158,0.647585881,0.642013213,1
0.739951736,0.735608855,0.74018943,0.744073523,1
0.361547717,0.368551225,0.388994784,0.326983404,0
0.78638479,0.759016094,0.759717622,0.840613274,1
0.781799645,0.757469615,0.767193859,0.820878255,1
0.480142426,0.462887788,0.456836917,0.520844302,0
0.585476678,0.600198002,0.591613499,0.564540573,0
0.61238938,0.614518638,0.620027358,0.602589774,1
0.75763781,0.756220875,0.752992863,0.763719865,1
0.352068736,0.372062918,0.366784135,0.317233331,0
0.390043803,0.387252505,0.401292491,0.381562406,1
0.772252967,0.740733766,0.746032662,0.830200268,1
0.436090457,0.41035443,0.434656177,0.46336801,0
0.395179929,0.392514051,0.377117104,0.415975726,1
0.173916911,0.120583989,0.122536227,0.279004042,0
0.464366498,0.445772718,0.441070703,0.50640312,1
0.233464183,0.19224941,0.196424657,0.311998804,0
0.677911141,0.690831586,0.700343659,0.642436483,1
0.240571606,0.236847615,0.231311487,0.253599523,0
0.586652318,0.603461748,0.596394094,0.560003548,1
0.549392788,0.551943695,0.561535291,0.534651247,0
0.657365811,0.661789807,0.66362562,0.646644778,1
0.515081937,0.540431746,0.547453026,0.457158656,0
0.528516418,0.528275226,0.523256878,0.534034548,0
0.540579389,0.535984419,0.552403049,0.533332098,0
0.457643931,0.444949466,0.424190519,0.50394704,1
0.67902433,0.6842477,0.693881085,0.658876922,1
0.644019284,0.643696823,0.635982072,0.652405359,0
0.640495244,0.620718746,0.634659325,0.666204868,1
0.300478344,0.300802753,0.305844941,0.29476927,0
0.283321434,0.301242993,0.284646708,0.263998899,1
0.874035197,0.926776729,0.927611085,0.767339753,1
0.586497094,0.606506441,0.588776673,0.564121145,1
0.73846765,0.724440413,0.732145804,0.758892501,1
0.890586976,0.900672577,0.901552836,0.869460976,1
0.297858541,0.289349843,0.300121198,0.304131487,1
0.629330468,0.621500198,0.609550537,0.657033747,0
0.737083773,0.723713784,0.725053033,0.762575485,0
0.216194506,0.201126858,0.196140522,0.251438972,0
0.785609442,0.777759714,0.777099373,0.802027176,1
0.745277578,0.741182921,0.742941271,0.751732192,0
0.58915537,0.602444764,0.600370375,0.564562858,0
0.585669068,0.598615266,0.595010971,0.563300079,1
0.731996586,0.712644354,0.736069926,0.747340022,1
0.576382803,0.586529103,0.587101977,0.555443317,1
0.344035111,0.362546679,0.360687682,0.308745015,1
0.547265885,0.556487083,0.540946857,0.544346641,1
0.633089232,0.628807919,0.626833527,0.643662895,0
0.551854636,0.589800417,0.590202512,0.475289623,1
0.747137309,0.726681637,0.713433333,0.801483964,1
0.405587615,0.397825227,0.403498355,0.415476787,0
0.745295953,0.722869613,0.721658455,0.791523208,0
0.63705694,0.643036614,0.656696457,0.611352499,0
0.348242118,0.359903355,0.365934097,0.31878705,0
0.588437341,0.59834121,0.600793243,0.566099411,1
0.397848589,0.391904827,0.380564321,0.421154365,0
0.849126383,0.845795286,0.840516411,0.861107659,1
0.727405938,0.720989382,0.723610463,0.737655451,1
0.565067086,0.574925011,0.57776512,0.542432081,1
0.174872266,0.146437731,0.144557178,0.233830165,0
0.769036379,0.760399043,0.768872307,0.777872789,1
0.628429143,0.617958928,0.625235492,0.642144798,1
0.377765543,0.385452237,0.372379529,0.375451,1
0.87279918,0.875308783,0.875295545,0.867775391,1
0.665004476,0.668079503,0.678959082,0.647918956,1
0.851878029,0.859875154,0.874003409,0.82165445,1
0.386583531,0.387348367,0.380338737,0.392079951,1
0.590355129,0.602660372,0.605066198,0.56324371,0
0.591846772,0.606769509,0.606691669,0.561973161,0
0.618916411,0.613267961,0.601127004,0.642432414,1
0.277081183,0.255700874,0.268167702,0.3074882,1
0.567473917,0.584137401,0.56530925,0.552915325,0
0.161920703,0.121746428,0.116840068,0.247476909,0
0.598065944,0.606756853,0.624081269,0.56324371,0
0.348560047,0.374239547,0.364297767,0.306991106,1
