Best parameters set found on development set:
-0.21760 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 72, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21760 (+/-0.009) for {'classification__max_features': 6, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21760 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 88, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21760 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 55, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21760 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 66, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21761 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21762 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 35, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21762 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 84, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21763 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 87, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21763 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 5, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21763 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 70, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21763 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21764 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 78, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21764 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 98, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21764 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 72, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21765 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 59, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21765 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 65, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21765 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 47, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21766 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 83, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21766 (+/-0.009) for {'classification__max_features': 5, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21766 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21766 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21766 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 76, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21767 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 69, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21767 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 89, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21767 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21767 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 53, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21767 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 68, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21768 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 75, 'classification__n_estimators': 1000, 'classification__random_state': 42}
