Best parameters set found on development set:
0.65047 (+/-0.029) for {'classification__max_features': 3, 'classification__min_samples_leaf': 67, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65047 (+/-0.019) for {'classification__max_features': 3, 'classification__min_samples_leaf': 68, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65047 (+/-0.023) for {'classification__max_features': 3, 'classification__min_samples_leaf': 79, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65047 (+/-0.024) for {'classification__max_features': 4, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65047 (+/-0.030) for {'classification__max_features': 7, 'classification__min_samples_leaf': 86, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.019) for {'classification__max_depth': 4, 'classification__max_features': 7, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.021) for {'classification__max_depth': 5, 'classification__max_features': 5, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.015) for {'classification__max_depth': 9, 'classification__max_features': 2, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.016) for {'classification__max_features': 2, 'classification__min_samples_leaf': 28, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.018) for {'classification__max_features': 2, 'classification__min_samples_leaf': 30, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.021) for {'classification__max_features': 2, 'classification__min_samples_leaf': 41, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.022) for {'classification__max_features': 3, 'classification__min_samples_leaf': 55, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.021) for {'classification__max_features': 3, 'classification__min_samples_leaf': 60, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.022) for {'classification__max_features': 3, 'classification__min_samples_leaf': 68, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.030) for {'classification__max_features': 3, 'classification__min_samples_leaf': 69, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.017) for {'classification__max_features': 3, 'classification__min_samples_leaf': 72, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.016) for {'classification__max_features': 3, 'classification__min_samples_leaf': 76, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.023) for {'classification__max_features': 3, 'classification__min_samples_leaf': 79, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.020) for {'classification__max_features': 3, 'classification__min_samples_leaf': 85, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.021) for {'classification__max_features': 3, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.026) for {'classification__max_features': 4, 'classification__min_samples_leaf': 84, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.019) for {'classification__max_features': 4, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.023) for {'classification__max_features': 5, 'classification__min_samples_leaf': 74, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65024 (+/-0.020) for {'classification__max_features': 5, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 500, 'classification__random_state': 42}
