Best parameters set found on development set:
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
-0.21388 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
-0.21388 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21389 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
-0.21389 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21389 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42}
-0.21389 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
-0.21389 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21389 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
-0.21389 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
-0.21390 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21390 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21390 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21390 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
-0.21390 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21390 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21390 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
-0.21390 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21390 (+/-0.007) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.21391 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
-0.21391 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
-0.21391 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
-0.21391 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
-0.21391 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
-0.21391 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
-0.21391 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
-0.21391 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 65, 'n_estimators': 500, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
-0.21392 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.21392 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21392 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
-0.21393 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21393 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42}
-0.21393 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21393 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
-0.21394 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21394 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
