Best parameters set found on development set:
0.66009 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 37, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
0.66009 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
0.66009 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
0.66009 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.011) for {'max_depth': 1, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.013) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.016) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.012) for {'max_features': 1, 'min_samples_split': 74, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 32, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 47, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 28, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.65987 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
0.65987 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.012) for {'max_depth': 1, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.012) for {'max_depth': 1, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 31, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 33, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 37, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 21, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 33, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 36, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 51, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.009) for {'max_features': 2, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 53, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.009) for {'max_features': 2, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 39, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.009) for {'max_features': 3, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.65965 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
