team,week,pass_yards,rush_yards,points_scored,location,boxscore_index
Texans,2,337,52,20,Home,g26
49ers,2,206,159,30,Away,g27
Rams,2,297,89,23,Home,g27
Giants,2,312,127,31,Away,g28
Cardinals,2,228,151,28,Home,g28
Jets,2,151,64,10,Away,g29
Cowboys,2,248,134,30,Home,g29
Dolphins,2,244,145,24,Away,g30
Patriots,2,200,88,17,Home,g30
Saints,2,207,134,20,Away,g31
Panthers,2,139,100,17,Home,g31
Browns,2,210,198,22,Away,g32
Steelers,2,200,55,26,Home,g32
Giants,3,121,29,12,Away,g33
49ers,3,300,141,30,Home,g33
Titans,3,68,26,3,Away,g34
Browns,3,263,78,27,Home,g34
Falcons,3,139,44,6,Away,g35
Lions,3,243,115,20,Home,g35
Saints,3,175,77,17,Away,g36
Packers,3,245,95,18,Home,g36
Chargers,3,445,30,28,Away,g37
Vikings,3,345,130,24,Home,g37
Patriots,3,201,157,15,Away,g38
Jets,3,133,38,10,Home,g38
Bills,3,218,168,37,Away,g39
Commanders,3,125,105,3,Home,g39
Texans,3,280,86,37,Away,g40
Jaguars,3,288,116,17,Home,g40
Colts,3,188,139,22,Away,g41
Ravens,3,178,186,19,Home,g41
Broncos,3,294,69,20,Away,g42
Dolphins,3,376,350,70,Home,g42
Bears,3,87,116,10,Away,g43
Chiefs,3,303,153,41,Home,g43
Cowboys,3,231,185,16,Away,g44
Cardinals,3,178,222,28,Home,g44
Panthers,3,334,44,27,Away,g45
Seahawks,3,279,146,37,Home,g45
Steelers,3,228,105,23,Away,g46
Raiders,3,293,69,18,Home,g46
Eagles,3,271,201,25,Away,g47
Buccaneers,3,133,41,11,Home,g47
Rams,3,221,71,16,Away,g48
Bengals,3,242,67,19,Home,g48
Seahawks,,,,,Away,g49
Giants,,,,,Home,g49
Rams,,,,,Away,g50
Colts,,,,,Home,g50
Lions,,,,,Away,g51
Packers,,,,,Home,g51
Ravens,,,,,Away,g52
Browns,,,,,Home,g52
Dolphins,,,,,Away,g53
Bills,,,,,Home,g53
Falcons,,,,,Away,g54
Jaguars,,,,,Home,g54
Buccaneers,,,,,Away,g55
Saints,,,,,Home,g55
Bengals,,,,,Away,g56
Titans,,,,,Home,g56
Broncos,,,,,Away,g57
Bears,,,,,Home,g57
Steelers,,,,,Away,g58
Texans,,,,,Home,g58
Vikings,,,,,Away,g59
Panthers,,,,,Home,g59
Raiders,,,,,Away,g60
Chargers,,,,,Home,g60
Patriots,,,,,Away,g61
Cowboys,,,,,Home,g61
Commanders,,,,,Away,g62
Eagles,,,,,Home,g62
Chiefs,,,,,Away,g63
Jets,,,,,Home,g63
Cardinals,,,,,Away,g64
49ers,,,,,Home,g64
,,,,,Away,g65
,,,,,Home,g65
,,,,,Away,g66
,,,,,Home,g66
,,,,,Away,g67
,,,,,Home,g67
,,,,,Away,g68
,,,,,Home,g68
,,,,,Away,g69
,,,,,Home,g69
,,,,,Away,g70
,,,,,Home,g70
,,,,,Away,g71
,,,,,Home,g71
,,,,,Away,g72
,,,,,Home,g72
,,,,,Away,g73
,,,,,Home,g73
,,,,,Away,g74
,,,,,Home,g74
,,,,,Away,g75
,,,,,Home,g75
,,,,,Away,g76
,,,,,Home,g76
,,,,,Away,g77
,,,,,Home,g77
,,,,,Away,g78
,,,,,Home,g78
,,,,,Away,g79
,,,,,Home,g79
,,,,,Away,g80
,,,,,Home,g80
,,,,,Away,g81
,,,,,Home,g81
,,,,,Away,g82
,,,,,Home,g82
,,,,,Away,g83
,,,,,Home,g83
,,,,,Away,g84
,,,,,Home,g84
,,,,,Away,g85
,,,,,Home,g85
,,,,,Away,g86
,,,,,Home,g86
,,,,,Away,g87
,,,,,Home,g87
,,,,,Away,g88
,,,,,Home,g88
,,,,,Away,g89
,,,,,Home,g89
,,,,,Away,g90
,,,,,Home,g90
,,,,,Away,g91
,,,,,Home,g91
,,,,,Away,g92
,,,,,Home,g92
,,,,,Away,g93
,,,,,Home,g93
,,,,,Away,g94
,,,,,Home,g94
,,,,,Away,g95
,,,,,Home,g95
,,,,,Away,g96
,,,,,Home,g96
,,,,,Away,g97
,,,,,Home,g97
,,,,,Away,g98
,,,,,Home,g98
,,,,,Away,g99
,,,,,Home,g99
,,,,,Away,g100
,,,,,Home,g100
,,,,,Away,g101
,,,,,Home,g101
,,,,,Away,g102
,,,,,Home,g102
,,,,,Away,g103
,,,,,Home,g103
,,,,,Away,g104
,,,,,Home,g104
,,,,,Away,g105
,,,,,Home,g105
,,,,,Away,g106
,,,,,Home,g106
,,,,,Away,g107
,,,,,Home,g107
,,,,,Away,g108
,,,,,Home,g108
,,,,,Away,g109
,,,,,Home,g109
,,,,,Away,g110
,,,,,Home,g110
,,,,,Away,g111
,,,,,Home,g111
,,,,,Away,g112
,,,,,Home,g112
,,,,,Away,g113
,,,,,Home,g113
,,,,,Away,g114
,,,,,Home,g114
,,,,,Away,g115
,,,,,Home,g115
,,,,,Away,g116
,,,,,Home,g116
,,,,,Away,g117
,,,,,Home,g117
,,,,,Away,g118
,,,,,Home,g118
,,,,,Away,g119
,,,,,Home,g119
,,,,,Away,g120
,,,,,Home,g120
,,,,,Away,g121
,,,,,Home,g121
,,,,,Away,g122
,,,,,Home,g122
,,,,,Away,g123
,,,,,Home,g123
,,,,,Away,g124
,,,,,Home,g124
,,,,,Away,g125
,,,,,Home,g125
,,,,,Away,g126
,,,,,Home,g126
,,,,,Away,g127
,,,,,Home,g127
,,,,,Away,g128
,,,,,Home,g128
,,,,,Away,g129
,,,,,Home,g129
,,,,,Away,g130
,,,,,Home,g130
,,,,,Away,g131
,,,,,Home,g131
,,,,,Away,g132
,,,,,Home,g132
,,,,,Away,g133
,,,,,Home,g133
,,,,,Away,g134
,,,,,Home,g134
,,,,,Away,g135
,,,,,Home,g135
,,,,,Away,g136
,,,,,Home,g136
,,,,,Away,g137
,,,,,Home,g137
,,,,,Away,g138
,,,,,Home,g138
,,,,,Away,g139
,,,,,Home,g139
,,,,,Away,g140
,,,,,Home,g140
,,,,,Away,g141
,,,,,Home,g141
,,,,,Away,g142
,,,,,Home,g142
,,,,,Away,g143
,,,,,Home,g143
,,,,,Away,g144
,,,,,Home,g144
,,,,,Away,g145
,,,,,Home,g145
,,,,,Away,g146
,,,,,Home,g146
,,,,,Away,g147
,,,,,Home,g147
,,,,,Away,g148
,,,,,Home,g148
,,,,,Away,g149
,,,,,Home,g149
,,,,,Away,g150
,,,,,Home,g150
,,,,,Away,g151
,,,,,Home,g151
,,,,,Away,g152
,,,,,Home,g152
,,,,,Away,g153
,,,,,Home,g153
,,,,,Away,g154
,,,,,Home,g154
,,,,,Away,g155
,,,,,Home,g155
,,,,,Away,g156
,,,,,Home,g156
,,,,,Away,g157
,,,,,Home,g157
,,,,,Away,g158
,,,,,Home,g158
,,,,,Away,g159
,,,,,Home,g159
,,,,,Away,g160
,,,,,Home,g160
,,,,,Away,g161
,,,,,Home,g161
,,,,,Away,g162
,,,,,Home,g162
,,,,,Away,g163
,,,,,Home,g163
,,,,,Away,g164
,,,,,Home,g164
,,,,,Away,g165
,,,,,Home,g165
,,,,,Away,g166
,,,,,Home,g166
,,,,,Away,g167
,,,,,Home,g167
,,,,,Away,g168
,,,,,Home,g168
,,,,,Away,g169
,,,,,Home,g169
,,,,,Away,g170
,,,,,Home,g170
,,,,,Away,g171
,,,,,Home,g171
,,,,,Away,g172
,,,,,Home,g172
,,,,,Away,g173
,,,,,Home,g173
,,,,,Away,g174
,,,,,Home,g174
,,,,,Away,g175
,,,,,Home,g175
,,,,,Away,g176
,,,,,Home,g176
,,,,,Away,g177
,,,,,Home,g177
,,,,,Away,g178
,,,,,Home,g178
,,,,,Away,g179
,,,,,Home,g179
,,,,,Away,g180
,,,,,Home,g180
,,,,,Away,g181
,,,,,Home,g181
,,,,,Away,g182
,,,,,Home,g182
,,,,,Away,g183
,,,,,Home,g183
,,,,,Away,g184
,,,,,Home,g184
,,,,,Away,g185
,,,,,Home,g185
,,,,,Away,g186
,,,,,Home,g186
,,,,,Away,g187
,,,,,Home,g187
,,,,,Away,g188
,,,,,Home,g188
,,,,,Away,g189
,,,,,Home,g189
,,,,,Away,g190
,,,,,Home,g190
,,,,,Away,g191
,,,,,Home,g191
,,,,,Away,g192
,,,,,Home,g192
,,,,,Away,g193
,,,,,Home,g193
,,,,,Away,g194
,,,,,Home,g194
,,,,,Away,g195
,,,,,Home,g195
,,,,,Away,g196
,,,,,Home,g196
,,,,,Away,g197
,,,,,Home,g197
,,,,,Away,g198
,,,,,Home,g198
,,,,,Away,g199
,,,,,Home,g199
,,,,,Away,g200
,,,,,Home,g200
,,,,,Away,g201
,,,,,Home,g201
,,,,,Away,g202
,,,,,Home,g202
,,,,,Away,g203
,,,,,Home,g203
,,,,,Away,g204
,,,,,Home,g204
,,,,,Away,g205
,,,,,Home,g205
,,,,,Away,g206
,,,,,Home,g206
,,,,,Away,g207
,,,,,Home,g207
,,,,,Away,g208
,,,,,Home,g208
,,,,,Away,g209
,,,,,Home,g209
,,,,,Away,g210
,,,,,Home,g210
,,,,,Away,g211
,,,,,Home,g211
,,,,,Away,g212
,,,,,Home,g212
,,,,,Away,g213
,,,,,Home,g213
,,,,,Away,g214
,,,,,Home,g214
,,,,,Away,g215
,,,,,Home,g215
,,,,,Away,g216
,,,,,Home,g216
,,,,,Away,g217
,,,,,Home,g217
,,,,,Away,g218
,,,,,Home,g218
,,,,,Away,g219
,,,,,Home,g219
,,,,,Away,g220
,,,,,Home,g220
,,,,,Away,g221
,,,,,Home,g221
,,,,,Away,g222
,,,,,Home,g222
,,,,,Away,g223
,,,,,Home,g223
,,,,,Away,g224
,,,,,Home,g224
,,,,,Away,g225
,,,,,Home,g225
,,,,,Away,g226
,,,,,Home,g226
,,,,,Away,g227
,,,,,Home,g227
,,,,,Away,g228
,,,,,Home,g228
,,,,,Away,g229
,,,,,Home,g229
,,,,,Away,g230
,,,,,Home,g230
,,,,,Away,g231
,,,,,Home,g231
,,,,,Away,g232
,,,,,Home,g232
,,,,,Away,g233
,,,,,Home,g233
,,,,,Away,g234
,,,,,Home,g234
,,,,,Away,g235
,,,,,Home,g235
,,,,,Away,g236
,,,,,Home,g236
,,,,,Away,g237
,,,,,Home,g237
,,,,,Away,g238
,,,,,Home,g238
,,,,,Away,g239
,,,,,Home,g239
,,,,,Away,g240
,,,,,Home,g240
,,,,,Away,g241
,,,,,Home,g241
,,,,,Away,g242
,,,,,Home,g242
,,,,,Away,g243
,,,,,Home,g243
,,,,,Away,g244
,,,,,Home,g244
,,,,,Away,g245
,,,,,Home,g245
,,,,,Away,g246
,,,,,Home,g246
,,,,,Away,g247
,,,,,Home,g247
,,,,,Away,g248
,,,,,Home,g248
,,,,,Away,g249
,,,,,Home,g249
,,,,,Away,g250
,,,,,Home,g250
,,,,,Away,g251
,,,,,Home,g251
,,,,,Away,g252
,,,,,Home,g252
,,,,,Away,g253
,,,,,Home,g253
,,,,,Away,g254
,,,,,Home,g254
,,,,,Away,g255
,,,,,Home,g255
,,,,,Away,g256
,,,,,Home,g256
,,,,,Away,g257
,,,,,Home,g257
,,,,,Away,g258
,,,,,Home,g258
,,,,,Away,g259
,,,,,Home,g259
,,,,,Away,g260
,,,,,Home,g260
,,,,,Away,g261
,,,,,Home,g261
,,,,,Away,g262
,,,,,Home,g262
,,,,,Away,g263
,,,,,Home,g263
,,,,,Away,g264
,,,,,Home,g264
,,,,,Away,g265
,,,,,Home,g265
,,,,,Away,g266
,,,,,Home,g266
,,,,,Away,g267
,,,,,Home,g267
,,,,,Away,g268
,,,,,Home,g268
,,,,,Away,g269
,,,,,Home,g269
,,,,,Away,g270
,,,,,Home,g270
,,,,,Away,g271
,,,,,Home,g271
,,,,,Away,g272
,,,,,Home,g272
,,,,,Away,g273
,,,,,Home,g273
,,,,,Away,g274
,,,,,Home,g274
,,,,,Away,g275
,,,,,Home,g275
,,,,,Away,g276
,,,,,Home,g276
,,,,,Away,g277
,,,,,Home,g277
,,,,,Away,g278
,,,,,Home,g278
,,,,,Away,g279
,,,,,Home,g279
,,,,,Away,g280
,,,,,Home,g280
,,,,,Away,g281
,,,,,Home,g281
,,,,,Away,g282
,,,,,Home,g282
,,,,,Away,g283
,,,,,Home,g283
,,,,,Away,g284
,,,,,Home,g284
