team,week,pass_yards,rush_yards,points_scored,location,boxscore_index
49ers,10,230,157,22,Home,g149
Commanders,10,178,152,32,Away,g150
Eagles,10,170,94,21,Home,g150
Titans,11,320,88,27,Away,g151
Packers,11,215,56,17,Home,g151
Bears,11,128,160,24,Away,g152
Falcons,11,131,149,27,Home,g152
Browns,11,316,80,23,Away,g153
Bills,11,186,171,31,Home,g153
Eagles,11,173,141,17,Away,g154
Colts,11,185,99,16,Home,g154
Jets,11,44,59,3,Away,g155
Patriots,11,198,99,10,Home,g155
Rams,11,188,148,20,Away,g156
Saints,11,235,88,27,Home,g156
Lions,11,165,160,31,Away,g157
Giants,11,324,89,18,Home,g157
Panthers,11,169,36,3,Away,g158
Ravens,11,193,115,13,Home,g158
Commanders,11,191,153,23,Away,g159
Texans,11,127,21,10,Home,g159
Raiders,11,298,109,22,Away,g160
Broncos,11,226,94,16,Home,g160
Cowboys,11,307,151,40,Away,g161
Vikings,11,110,73,3,Home,g161
Bengals,11,346,62,37,Away,g162
Steelers,11,249,102,30,Home,g162
Chiefs,11,322,163,30,Away,g163
Chargers,11,250,115,27,Home,g163
49ers,11,228,159,38,Away,g164
Cardinals,11,247,67,10,Home,g164
Bills,12,237,164,28,Away,g165
Lions,12,230,96,25,Home,g165
Giants,12,210,90,20,Away,g166
Cowboys,12,261,169,28,Home,g166
Patriots,12,364,45,26,Away,g167
Vikings,12,301,57,33,Home,g167
Buccaneers,12,229,96,17,Away,g168
Browns,12,178,189,23,Home,g168
Bengals,12,266,108,20,Away,g169
Titans,12,281,63,16,Home,g169
Texans,12,174,36,15,Away,g170
Dolphins,12,273,66,30,Home,g170
Bears,12,165,127,10,Away,g171
Jets,12,308,158,31,Home,g171
Falcons,12,165,167,13,Away,g172
Commanders,12,138,176,19,Home,g172
Broncos,12,125,121,10,Away,g173
Panthers,12,164,185,23,Home,g173
Ravens,12,253,162,27,Away,g174
Jaguars,12,294,38,28,Home,g174
Chargers,12,246,65,25,Away,g175
Cardinals,12,185,181,24,Home,g175
Raiders,12,293,283,40,Away,g176
Seahawks,12,307,65,34,Home,g176
Rams,12,82,116,10,Away,g177
Chiefs,12,320,117,26,Home,g177
Saints,12,197,63,0,Away,g178
49ers,12,221,93,13,Home,g178
Packers,12,236,106,33,Away,g179
Eagles,12,137,363,40,Home,g179
Steelers,12,151,172,24,Away,g180
Colts,12,180,110,17,Home,g180
Bills,13,223,132,24,Away,g181
Patriots,13,182,60,10,Home,g181
Steelers,13,197,154,19,Away,g182
Falcons,13,160,146,16,Home,g182
Packers,13,182,175,28,Away,g183
Bears,13,254,155,19,Home,g183
Jaguars,13,171,95,14,Away,g184
Lions,13,337,100,40,Home,g184
Jets,13,366,120,22,Away,g185
Vikings,13,159,128,27,Home,g185
Commanders,13,246,165,20,Away,g186
Giants,13,182,134,20,Home,g186
Titans,13,122,87,10,Away,g187
Eagles,13,386,67,35,Home,g187
Broncos,13,184,88,9,Away,g188
Ravens,13,182,103,10,Home,g188
Browns,13,130,174,27,Away,g189
Texans,13,201,82,14,Home,g189
Seahawks,13,348,90,27,Away,g190
Rams,13,148,171,23,Home,g190
Dolphins,13,275,33,17,Away,g191
49ers,13,230,121,33,Home,g191
Chiefs,13,211,138,24,Away,g192
Bengals,13,279,152,27,Home,g192
Chargers,13,314,72,20,Away,g193
Raiders,13,250,154,27,Home,g193
Colts,13,203,106,19,Away,g194
Cowboys,13,165,220,54,Home,g194
Saints,13,232,66,16,Away,g195
Buccaneers,13,274,76,17,Home,g195
Raiders,14,137,165,16,Away,g196
Rams,14,211,71,17,Home,g196
Jets,14,233,76,12,Away,g197
Bills,14,130,102,20,Home,g197
Browns,14,273,71,10,Away,g198
Bengals,14,227,136,23,Home,g198
Texans,14,213,114,23,Away,g199
Cowboys,14,277,127,27,Home,g199
Vikings,14,394,22,23,Away,g200
Lions,14,330,134,34,Home,g200
Jaguars,14,368,60,36,Away,g201
Titans,14,227,137,22,Home,g201
