Best parameters set found on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72682 (+/-0.020) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72682 (+/-0.021) for {'max_features': 2, 'min_samples_leaf': 49, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72681 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72681 (+/-0.011) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.123
0.72679 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72677 (+/-0.020) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72677 (+/-0.012) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72676 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72674 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72674 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72673 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 30, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72672 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72671 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72671 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72670 (+/-0.022) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42} probability 0.006
0.72669 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 500, 'random_state': 42} probability 0.000
