Best parameters set found on development set:
0.66072 (+/-0.017) for {'algorithm': 'ball_tree', 'leaf_size': 25, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'ball_tree', 'leaf_size': 26, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'ball_tree', 'leaf_size': 26, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'ball_tree', 'leaf_size': 26, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'ball_tree', 'leaf_size': 27, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'ball_tree', 'leaf_size': 27, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'ball_tree', 'leaf_size': 27, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'ball_tree', 'leaf_size': 28, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'ball_tree', 'leaf_size': 28, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'ball_tree', 'leaf_size': 28, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'ball_tree', 'leaf_size': 29, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'ball_tree', 'leaf_size': 29, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'ball_tree', 'leaf_size': 29, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.015) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 63, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.017) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 65, 'p': 2, 'weights': 'uniform'}
0.66072 (+/-0.020) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 61, 'p': 2, 'weights': 'uniform'}
