Best parameters set found on development set:
0.66094 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 33, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 41, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 43, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 45, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 47, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 51, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 60, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.011) for {'max_depth': 1, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.015) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.018) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.015) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.010) for {'max_features': 1, 'min_samples_split': 47, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.010) for {'max_features': 1, 'min_samples_split': 68, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 1, 'min_samples_split': 70, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 31, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 35, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 36, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 38, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 43, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 48, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 49, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 63, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.010) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.011) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.016) for {'max_features': 1, 'min_samples_split': 71, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.016) for {'max_features': 1, 'min_samples_leaf': 27, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.016) for {'max_features': 1, 'min_samples_leaf': 39, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 41, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 35, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 37, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 42, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 44, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42}
