Best parameters set found on development set:
-0.24204 (+/-0.011) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
-0.24204 (+/-0.011) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
-0.24204 (+/-0.011) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
-0.24263 (+/-0.016) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
