Best parameters set found on development set:
0.72731 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 137, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
