Best parameters set found on development set:
-0.17422 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 54, 'p': 2, 'weights': 'distance'}
-0.17422 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 53, 'p': 2, 'weights': 'distance'}
-0.17424 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 64, 'p': 1, 'weights': 'distance'}
-0.17425 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 64, 'p': 1, 'weights': 'distance'}
-0.17425 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 64, 'p': 1, 'weights': 'distance'}
-0.17426 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 51, 'p': 2, 'weights': 'distance'}
-0.17426 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 51, 'p': 2, 'weights': 'distance'}
-0.17426 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 51, 'p': 2, 'weights': 'distance'}
-0.17428 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 65, 'p': 1, 'weights': 'distance'}
-0.17428 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 65, 'p': 1, 'weights': 'distance'}
-0.17428 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 65, 'p': 1, 'weights': 'distance'}
-0.17433 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 52, 'p': 2, 'weights': 'distance'}
-0.17433 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 52, 'p': 2, 'weights': 'distance'}
-0.17433 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 52, 'p': 2, 'weights': 'distance'}
-0.17438 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 63, 'p': 1, 'weights': 'distance'}
-0.17438 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 63, 'p': 1, 'weights': 'distance'}
-0.17438 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 63, 'p': 1, 'weights': 'distance'}
-0.17438 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}
-0.17439 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}
-0.17439 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}
-0.17445 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 62, 'p': 1, 'weights': 'distance'}
-0.17445 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 62, 'p': 1, 'weights': 'distance'}
-0.17446 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 62, 'p': 1, 'weights': 'distance'}
-0.17460 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 61, 'p': 1, 'weights': 'distance'}
-0.17461 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 61, 'p': 1, 'weights': 'distance'}
-0.17461 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 61, 'p': 1, 'weights': 'distance'}
-0.17465 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 59, 'p': 1, 'weights': 'distance'}
-0.17465 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 59, 'p': 1, 'weights': 'distance'}
