Best parameters set found on development set:
0.64956 (+/-0.020) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.64956 (+/-0.016) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.64917 (+/-0.019) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.64917 (+/-0.029) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.64898 (+/-0.021) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.64879 (+/-0.028) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.64879 (+/-0.019) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.64840 (+/-0.028) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.64802 (+/-0.024) for {'max_depth': 1, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.64802 (+/-0.027) for {'max_depth': 1, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.64802 (+/-0.027) for {'max_depth': 1, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.64802 (+/-0.028) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.64783 (+/-0.024) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.64764 (+/-0.026) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.64725 (+/-0.026) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.64725 (+/-0.024) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.64706 (+/-0.024) for {'max_depth': 1, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.64706 (+/-0.029) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.64687 (+/-0.026) for {'max_depth': 1, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.64667 (+/-0.027) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.64648 (+/-0.025) for {'max_depth': 1, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.64571 (+/-0.026) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.64533 (+/-0.011) for {'max_depth': 5, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.64398 (+/-0.021) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
