Best parameters set found on development set:
0.66138 (+/-0.008) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.016) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.010) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 34, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 37, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 49, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.016) for {'max_depth': 1, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.011) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.012) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.019) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.016) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.016) for {'max_depth': 5, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 30, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 36, 'n_estimators': 500, 'random_state': 42}
