Best parameters set found on development set:
-0.21349 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
-0.21349 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21349 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
-0.21349 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21349 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21349 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21349 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
-0.21350 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
-0.21350 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
-0.21350 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
-0.21350 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21350 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21350 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21351 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
-0.21351 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
-0.21351 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
-0.21351 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
-0.21352 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.007) for {'max_depth': 6, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
-0.21352 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
-0.21352 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
-0.21353 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
-0.21353 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21353 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
-0.21353 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
-0.21353 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
-0.21353 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
-0.21353 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21353 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
-0.21354 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
-0.21354 (+/-0.008) for {'max_features': 8, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21354 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21354 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
-0.21354 (+/-0.007) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.21354 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
-0.21355 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
-0.21355 (+/-0.008) for {'max_features': 8, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21355 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
-0.21355 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42}
-0.21355 (+/-0.007) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.21355 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
-0.21355 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
-0.21355 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
-0.21355 (+/-0.008) for {'max_features': 8, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21356 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
-0.21356 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
-0.21356 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
-0.21356 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42}
-0.21356 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21356 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
-0.21356 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
